Movie Title,Director,Genre,Release Year
Anchorman: The Legend of Ron Burgundy,Adam McKay,Comedy,2004
"Wake Up, Ron Burgundy: The Lost Movie",Adam McKay,Comedy,2004
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,Comedy,2006
Step Brothers,Adam McKay,Comedy,2008
The Other Guys,Adam McKay,"Action, Comedy, Crime",2010
Anchorman 2: The Legend Continues,Adam McKay,Comedy,2013
The Big Short,Adam McKay,"Comedy, Drama",2015
Vice,Adam McKay,"Comedy, Drama",2018
Don't Look Up,Adam McKay,"Comedy, Science Fiction, Drama",2021
Foxes,Adrian Lyne,"Drama, Thriller",1980
Flashdance,Adrian Lyne,"Drama, Romance",1983
Nine 1/2 Weeks,Adrian Lyne,"Romance, Drama",1986
Fatal Attraction,Adrian Lyne,"Thriller, Drama, Romance",1987
Jacob's Ladder,Adrian Lyne,"Drama, Mystery, Horror",1990
Indecent Proposal,Adrian Lyne,"Romance, Drama",1993
Lolita,Adrian Lyne,"Drama, Romance",1997
Unfaithful,Adrian Lyne,"Thriller, Drama",2002
Deep Water,Adrian Lyne,"Drama, Mystery, Thriller",2022
Sanshiro Sugata,Akira Kurosawa,Drama,1943
The Most Beautiful,Akira Kurosawa,"Drama, War",1944
Sanshiro Sugata Part Two,Akira Kurosawa,"Action, Drama, Adventure",1945
No Regrets for Our Youth,Akira Kurosawa,Drama,1946
Those Who Make Tomorrow,Akira Kurosawa,Drama,1946
One Wonderful Sunday,Akira Kurosawa,"Drama, Romance",1947
Drunken Angel,Akira Kurosawa,Drama,1948
Stray Dog,Akira Kurosawa,"Crime, Drama, Thriller",1949
The Quiet Duel,Akira Kurosawa,Drama,1949
Rashomon,Akira Kurosawa,"Crime, Drama, Mystery",1950
Scandal,Akira Kurosawa,Drama,1950
The Idiot,Akira Kurosawa,"Drama, Romance",1951
Ikiru,Akira Kurosawa,Drama,1952
The Men Who Tread on the Tiger's Tail,Akira Kurosawa,"Drama, History, Thriller, Adventure",1952
Seven Samurai,Akira Kurosawa,"Action, Drama",1954
I Live in Fear,Akira Kurosawa,Drama,1955
Throne of Blood,Akira Kurosawa,"Drama, History",1957
The Lower Depths,Akira Kurosawa,Drama,1957
The Hidden Fortress,Akira Kurosawa,"Drama, Action, Adventure",1958
The Bad Sleep Well,Akira Kurosawa,"Crime, Drama, Thriller",1960
Yojimbo,Akira Kurosawa,"Drama, Thriller",1961
Sanjuro,Akira Kurosawa,"Drama, Action, Comedy",1962
High and Low,Akira Kurosawa,"Drama, Crime, Mystery",1963
Red Beard,Akira Kurosawa,Drama,1965
Dodes'ka-den,Akira Kurosawa,Drama,1970
Song of the Horse,Akira Kurosawa,"Documentary, TV Movie",1971
Dersu Uzala,Akira Kurosawa,"Action, Adventure, Drama",1975
Kagemusha,Akira Kurosawa,"Action, Drama, History, War",1980
Ran,Akira Kurosawa,"Action, Drama, History",1985
Dreams,Akira Kurosawa,"Fantasy, Drama",1990
Rhapsody in August,Akira Kurosawa,Drama,1991
Madadayo,Akira Kurosawa,"Drama, Comedy",1993
Amores Perros,Alejandro González Iñárritu,"Drama, Thriller",2000
11'09''01 - September 11,Alejandro González Iñárritu,Drama,2002
21 Grams,Alejandro González Iñárritu,"Drama, Crime, Thriller",2003
Babel,Alejandro González Iñárritu,Drama,2006
To Each His Own Cinema,Alejandro González Iñárritu,"Comedy, Drama",2007
Biutiful,Alejandro González Iñárritu,Drama,2010
Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,"Drama, Comedy",2014
The Revenant,Alejandro González Iñárritu,"Western, Drama, Adventure",2015
"BARDO, False Chronicle of a Handful of Truths",Alejandro González Iñárritu,"Comedy, Drama",2022
Inside Out,Alexander Payne,"Comedy, Drama, Romance, Science Fiction, Fantasy",1991
Inside Out 3,Alexander Payne,"Drama, Comedy, Romance, Fantasy",1992
Citizen Ruth,Alexander Payne,"Drama, Comedy",1996
Election,Alexander Payne,"Comedy, Romance, Drama, Mystery",1999
About Schmidt,Alexander Payne,"Drama, Comedy",2002
Sideways,Alexander Payne,"Comedy, Drama, Romance",2004
Paris Je T'aime,Alexander Payne,"Drama, Romance",2006
Cinema16: American Short Films,Alexander Payne,,2006
The Descendants,Alexander Payne,"Comedy, Drama",2011
Nebraska,Alexander Payne,"Drama, Adventure",2013
Downsizing,Alexander Payne,"Drama, Science Fiction",2017
The Holdovers,Alexander Payne,"Comedy, Drama",2023
Sólo con tu pareja,Alfonso Cuarón,"Drama, Comedy, Romance",1991
A Little Princess,Alfonso Cuarón,"Drama, Family, Fantasy",1995
Great Expectations,Alfonso Cuarón,"Comedy, Drama, Romance",1998
Y Tu Mamá También,Alfonso Cuarón,"Drama, Romance",2001
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,"Adventure, Fantasy",2004
Children of Men,Alfonso Cuarón,"Drama, Action, Thriller, Science Fiction",2006
Gravity,Alfonso Cuarón,"Science Fiction, Thriller, Drama",2013
Roma,Alfonso Cuarón,Drama,2018
Pushing Hands,Ang Lee,"Comedy, Drama",1991
The Wedding Banquet,Ang Lee,"Comedy, Drama, Romance",1993
Eat Drink Man Woman,Ang Lee,"Comedy, Drama, Romance",1994
Sense and Sensibility,Ang Lee,"Drama, Romance",1995
The Ice Storm,Ang Lee,Drama,1997
Ride with the Devil,Ang Lee,"Drama, War, Romance, Western",1999
"Crouching Tiger, Hidden Dragon",Ang Lee,"Adventure, Drama, Action, Romance",2000
Hulk,Ang Lee,"Science Fiction, Adventure, Action",2003
Brokeback Mountain,Ang Lee,"Drama, Romance",2005
"Lust, Caution",Ang Lee,"Action, Drama, Romance, Thriller",2007
Taking Woodstock,Ang Lee,"Music, Comedy, Drama",2009
Life of Pi,Ang Lee,"Adventure, Drama",2012
Billy Lynn's Long Halftime Walk,Ang Lee,"Drama, War",2016
Gemini Man,Ang Lee,"Science Fiction, Action, Adventure, Thriller",2019
A Little Like Drowning,Anthony Minghella,Drama,1978
Truly Madly Deeply,Anthony Minghella,"Fantasy, Drama, Comedy, Romance, TV Movie",1991
Mr. Wonderful,Anthony Minghella,"Comedy, Romance",1993
The English Patient,Anthony Minghella,"Drama, Romance, War",1996
The Talented Mr. Ripley,Anthony Minghella,"Thriller, Crime, Drama",1999
Cold Mountain,Anthony Minghella,"Drama, War, History, Adventure, Romance",2003
Breaking and Entering,Anthony Minghella,"Drama, Romance",2006
The Metropolitan Opera: Madama Butterfly,Anthony Minghella,,2009
Next of Kin,Atom Egoyan,"Drama, Comedy",1984
In This Corner,Atom Egoyan,Drama,1986
Family Viewing,Atom Egoyan,Drama,1987
Speaking Parts,Atom Egoyan,"Drama, Romance",1989
The Adjuster,Atom Egoyan,"Drama, Thriller",1991
Montreal Stories,Atom Egoyan,"Comedy, Drama",1991
Calendar,Atom Egoyan,"Comedy, Drama, Romance",1993
Gross Misconduct: The Life of Brian Spencer,Atom Egoyan,"Drama, TV Movie",1993
Exotica,Atom Egoyan,"Drama, Mystery",1994
